"Role","Pattern","Total URLs","Coverage %","Sampled","Hit","Miss","Confidence %","Redirect %","Status","Missing In Current","Suspicious Segment"
"Current","/products/{param}",4,100,4,0,4,0,0,"BAD","No","No"
"Legacy","/category/{param}",4,100,0,0,0,0,0,,"Yes","No"
